genome	biosample	clade	label
GCA_017812035.1_ASM1781203v1	SAMN16816109	II	human
GCA_009498155.2_ASM949815v2	SAMN07352899	I	animal
GCA_001886675.2_ASM188667v2	SAMN06042544	I	animal
GCA_001878735.3_ASM187873v3	SAMN05990127	I	animal
GCA_017788745.1_PDT000996374.1	SAMN18324155	II	human
GCA_017788685.1_PDT000996296.1	SAMN18324225	II	human
GCA_017788665.1_PDT000996271.1	SAMN18324248	II	human
GCA_017788645.1_PDT000996297.1	SAMN18323955	II	human
GCA_017788615.1_PDT000996358.1	SAMN18324170	II	human
GCA_017788605.1_PDT000996384.1	SAMN18324146	II	human
GCA_017788585.1_PDT000996416.1	SAMN18324118	II	human
GCA_017788565.1_PDT000996394.1	SAMN18324137	II	human
GCA_017788545.1_PDT000996403.1	SAMN18324129	II	human
GCA_017788525.1_PDT000996609.1	SAMN18324480	II	human
GCA_017788485.1_PDT000996551.1	SAMN18324532	II	human
GCA_017788505.1_PDT000996475.1	SAMN18323939	II	human
GCA_017788465.1_PDT000996438.1	SAMN18324098	II	human
GCA_017788445.1_PDT000996485.1	SAMN18324055	II	human
GCA_017788425.1_PDT000996628.1	SAMN18324463	II	human
GCA_017788385.1_PDT000996634.1	SAMN18324457	II	human
GCA_017788405.1_PDT000996714.1	SAMN18324385	II	human
GCA_017788365.1_PDT000996664.1	SAMN18324430	II	human
GCA_017788345.1_PDT000996699.1	SAMN18324399	II	human
GCA_017788325.1_PDT000996725.1	SAMN18324375	II	human
GCA_017788305.1_PDT000996804.1	SAMN18323963	II	human
GCA_017788285.1_PDT000996788.1	SAMN18324319	II	human
GCA_017788265.1_PDT000996805.1	SAMN18324304	II	human
GCA_017788245.1_PDT000996742.1	SAMN18324360	II	human
GCA_017788225.1_PDT000996728.1	SAMN18324373	II	human
GCA_017788205.1_PDT000996840.1	SAMN18324807	II	human
GCA_017788185.1_PDT000996937.1	SAMN18324719	II	human
GCA_017788165.1_PDT000997082.1	SAMN18324588	II	human
GCA_017788145.1_PDT000996846.1	SAMN18324802	II	human
GCA_017788125.1_PDT000997011.1	SAMN18324652	II	human
GCA_017782545.1_PDT000996800.1	SAMN18324308	II	human
GCA_017774615.1_PDT000996535.1	SAMN18324546	II	human
GCA_017771765.1_PDT000996414.1	SAMN18324120	II	human
GCA_017771745.1_PDT000996298.1	SAMN18323928	II	human
GCA_017771725.1_PDT000996689.1	SAMN18324408	II	human
GCA_017770705.1_PDT000996274.1	SAMN18324245	II	human
GCA_017767585.1_PDT000996915.1	SAMN18324739	II	human
GCA_017759365.1_PDT000996382.1	SAMN18324148	II	human
GCA_017754285.1_PDT000996255.1	SAMN18324263	II	human
GCA_017754265.1_PDT000996326.1	SAMN18324199	II	human
GCA_017754245.1_PDT000996578.1	SAMN18324508	II	human
GCA_017754225.1_PDT000996611.1	SAMN18324478	II	human
GCA_017754205.1_PDT000996744.1	SAMN18324358	II	human
GCA_017754165.1_PDT000996616.1	SAMN18324474	II	human
GCA_017754185.1_PDT000996769.1	SAMN18324335	II	human
GCA_017754145.1_PDT000996807.1	SAMN18324302	II	human
GCA_017754125.1_PDT000996784.1	SAMN18324323	II	human
GCA_017754105.1_PDT000996991.1	SAMN18324670	II	human
GCA_017754085.1_PDT000997053.1	SAMN18323994	II	human
GCA_017754065.1_PDT000997061.1	SAMN18324607	II	human
GCA_017754045.1_PDT000996941.1	SAMN18324715	II	human
GCA_017754005.1_PDT000997039.1	SAMN18324626	II	human
GCA_017753985.1_PDT000997102.1	SAMN18324570	II	human
GCA_017753965.1_PDT000997025.1	SAMN18324639	II	human
GCA_017730755.1_PDT000996496.1	SAMN18324045	II	human
GCA_017729695.1_PDT000996419.1	SAMN18324115	II	human
